Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.86
Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 97.94
Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.74000000000001
Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.64
Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 98.02
Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.6
Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.8
Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 2, acc : 97.96000000000001
Parameter C : 0.001, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 3, acc : 97.78
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 1, acc : 79.36
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 2, acc : 46.0
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 3, acc : 28.42
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 79.3
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 60.919999999999995
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 42.76
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 79.38
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 87.9
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 93.16
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 1, acc : 79.46
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 2, acc : 96.46000000000001
Parameter C : 0.01778279410038923, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 3, acc : 96.17999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 1, acc : 93.7
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 2, acc : 93.04
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 3, acc : 90.2
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 93.72
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 93.44
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 91.18
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 93.64
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 96.16
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.54
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 1, acc : 93.67999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 2, acc : 96.98
Parameter C : 0.01778279410038923, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 3, acc : 96.41999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.84
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 2, acc : 97.84
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.61999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.7
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 98.06
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.58
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.78
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 97.92
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 98.04
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.7
Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 100.0, Parameter degree : 2, acc : 97.42
